net,length_um
_06178_,1495.83
_05313_,1373.14
_05732_,1344.76
_05405_,1194.45
_06140_,1178.44
_06180_,1124.5
_05317_,1082.72
_05399_,1052.46
_04870_,1038.875
_05325_,1030.13
_04863_,1027.94
_06169_,1019.055
_07595_,1008.18
_05403_,971.5
net137,954.52
_07576_,947.76
_06168_,942.62
_05327_,931.76
net135,923.98
net152,923.44
_04859_,912.04
_05354_,900.77
_05887_,894.04
net23,890.07
_05335_,877.67
_09292_,866.54
_05634_,853.99
net128,853
_07816_,847.43
_01984_,839.69
_05352_,836.19
net69,834.78
_05328_,834.39
net106,824.9
net24,821.49
net27,820.85
_08183_,820.17
_04867_,813.46
net75,810.4
net51,805.31
_05312_,803.67
_05406_,797.565
_06619_,797.24
_08307_,794.71
_02706_,793.36
net74,789.16
_05326_,784.07
net71,782.58
net98,782.18
_07057_,781.54
_06734_,779.66
net82,777.14
_09787_,770.59
_10831_,767.91
_05270_,766.44
_05440_,765.33
_06682_,759.34
net11,751.93
net59,746.78
_06701_,746.6
net134,742.795
_09496_,742.64
net110,736.09
net58,734.86
net84,733.97
_05633_,726.76
net47,725.92
net54,724.48
net25,720.52
net16,715.99
_05787_,713.2
net60,712.98
net101,712.82
net2,712.7
_11723_,708.25
net145,706.45
_04873_,704.98
_08181_,704
_05261_,703.44
net64,702.18
_05316_,699.88
clknet_0_clk,698.55
net109,696.08
_05311_,696.07
net150,692.89
net143,688.07
_05269_,686.68
_04861_,686.46
net129,684.46
net91,682.14
_05736_,675.51
_08265_,674.81
_05275_,670.4
net88,668.13
net113,666.275
net123,666.18
_05730_,664.82
net118,664.14
_05739_,662.75
_04690_,661.04
_05315_,657.02
_05353_,656.65
_09266_,649.32
_09494_,641.45
net45,640.42
net18,637.24
net107,635.8
_04596_,626.9
net108,621.76
net10,621.21
net7,620.42
net100,609.38
_07439_,606.53
_06404_,605.4
_04684_,604.97
_04686_,604.68
net68,591.6
net117,586.76
net95,585.3
_09804_,583.22
_05177_,579.96
net136,576.88
net15,569.09
_05309_,563.3
net46,556.94
net37,555.56
net43,552.28
_09661_,549.42
_04550_,547.24
_09806_,546.49
net63,545.25
_05256_,543.4
net139,541.79
clk,539.93
net32,538.87
net57,535.78
_03691_,535.58
net13,532.4
_07708_,532.34
net86,527.98
net89,526.14
net162,525.82
net78,525.61
_05755_,525.33
net161,523.78
_05262_,523.44
net33,523.41
_09886_,523.36
net166,522.42
net79,520.98
net3,518.24
net159,515.83
_01863_,515.04
_04588_,513.85
net67,512.84
_04655_,512.65
net138,511.23
net133,509.52
net153,500.36
_02877_,498.94
_04658_,497.46
_04865_,497.18
net112,495.24
_04869_,491.99
_05772_,488.55
net1,488.44
_05632_,488.35
net35,487.1
_06242_,483.21
_05260_,476.15
net38,473.08
net19,473.06
net29,471.92
_10583_,467.27
net65,466.72
_04877_,465.61
net49,463.92
net93,463.11
net56,458.72
net130,456.62
net55,454.46
_03528_,451.76
_02491_,450.26
net154,448.68
_05276_,447.69
_05731_,447.59
_04860_,444
net22,441.34
net4,440.52
_10957_,436.48
_10447_,431.74
_05336_,430.22
clknet_4_0__leaf_clk,429.39
net72,427.48
_06364_,427.46
_07048_,427.065
net146,424.82
_04875_,424.05
_07617_,422.56
net61,422.06
net90,421.24
_10364_,419.61
net103,418.38
net87,414.82
_03929_,412.31
net92,411.58
_04782_,409.98
_04779_,408.01
net142,404.44
_04778_,401.055
_06660_,401.03
_04643_,396.475
_08066_,396.32
_04911_,393.18
clknet_4_3__leaf_clk,391.29
clknet_4_2__leaf_clk,383.15
_02962_,380.875
net94,379.12
net163,377.46
_08197_,375.395
_02707_,374.95
_05267_,374.08
clknet_4_8__leaf_clk,371.04
net114,369.18
net52,368.58
net122,368.46
net132,368.2
clknet_4_7__leaf_clk,368.1
_11722_,365.98
net40,361.74
_01999_,357.88
_01819_,355.88
_03070_,355.01
_07707_,353.9
_02135_,352.4
net77,351.56
net81,346.08
_01735_,345.54
net104,345.12
clknet_4_1__leaf_clk,343.63
net66,343.36
net131,343.28
net85,340.9
_02638_,340.78
_01997_,339.295
_05788_,339
clknet_4_9__leaf_clk,338.71
_04601_,338.42
_01995_,338.405
_02001_,338.26
net44,337.28
_07092_,333.31
net97,333.24
net99,333.22
net141,332.16
net73,331.12
_01386_,331.02
_02004_,330.62
net105,329.48
_07866_,328.96
clknet_2_0_0_clk,328.49
net167,328.16
net140,327.58
_03311_,326.92
clknet_4_5__leaf_clk,326.9
net102,326.56
_01202_,325.805
_05044_,321.74
_02021_,320.24
net127,320.24
clknet_2_3_0_clk,318.93
clknet_4_10__leaf_clk,318.43
_08150_,317.11
_04603_,317
_08163_,316.915
net160,316.4
net14,315.48
net28,315.24
net50,315.2
net115,314.9
_04606_,312.79
_08152_,312.74
net39,309.72
_06188_,308.03
_06848_,306.84
_11163_,306.295
_08870_,304.48
_07117_,302.055
_08147_,301.81
_01993_,301.05
_10071_,298.9
clknet_4_13__leaf_clk,298.9
_08674_,297.9
clknet_4_15__leaf_clk,297.14
clknet_2_2_0_clk,295.46
_11177_,294.6
_11641_,294.51
_04743_,292.92
clknet_2_1_0_clk,291.39
net111,291.28
net165,290.98
_06190_,290.91
net151,289.7
_01990_,289.305
_11228_,287.97
net42,287.22
net5,283.78
_01987_,283.72
clknet_4_11__leaf_clk,283.63
_10616_,282.37
net124,281.2
net41,281.14
_09199_,281.13
_05308_,281.12
net119,281.08
top_inst.axis_out_inst.out_buff_data\[94\],280.99
net120,280.02
net6,278.22
net125,277.7
_10448_,275.4
net164,274.68
_04858_,273.64
net62,271.58
_06193_,268.63
clknet_4_14__leaf_clk,267.86
net17,265.68
_07090_,264.81
_06196_,263.535
_11689_,263.3
_04740_,263.12
_04739_,262.76
_08143_,261.38
_05773_,257.24
_04874_,255.48
net30,255.38
_05314_,255.18
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[2\],254.54
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[1\],253.88
_05744_,253.23
_05751_,250.62
net70,250.2
clknet_4_4__leaf_clk,250.1
net121,247.62
_05746_,247.14
_04876_,246.03
_08831_,244.54
net490,244.06
_10639_,244.04
_05886_,244.01
_04994_,241.405
_08139_,240.81
_04956_,240.09
_08663_,239.99
_05734_,239.05
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[0\],237.455
_05756_,236.03
_05748_,233.64
_06204_,233.42
_06184_,233.34
_06684_,232.99
_06192_,232.48
_11150_,232.43
_06446_,232.19
_04590_,230.78
_04955_,230.6
_04964_,229.62
_11160_,229.54
_08137_,229.13
_07592_,227.65
clknet_4_6__leaf_clk,226.37
_06186_,225.86
_04583_,225.81
_05084_,224.95
_09231_,224.92
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[4\],224.06
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[2\],222.64
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[0\],220.66
_10541_,220.24
_07075_,219.91
_04619_,219.73
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[3\],218.9
_08166_,218.55
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[5\],218.46
_07611_,218.22
_03660_,217.3
_05741_,216.94
net148,216.92
_05128_,216.58
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[1\],216.37
_11695_,214.94
_05735_,214.84
_09184_,214.675
_06181_,213.9
net48,213.02
_06198_,212.74
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[14\],212.3
_10049_,211.9
_05129_,211.66
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[7\],211.38
net96,211.22
_04727_,210.12
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[11\],208.14
_05753_,207.81
_08684_,207.52
clknet_4_12__leaf_clk,207.12
_07619_,207.11
_05088_,207
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[12\],205.58
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[10\],204.68
_03713_,204.65
_05738_,204.64
net31,204.12
_07622_,204.05
_04917_,202.3
_10035_,200.195
net144,200.18
_04982_,199.24
_10032_,198.7
_09185_,195.81
_10614_,195.66
_05294_,195.48
_07333_,195.29
_05306_,194.58
net76,194.5
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[3\],194.48
net8,193.7
_04996_,193.56
_11675_,193.22
_07624_,192.99
_03693_,192.84
_04659_,192.74
_10030_,192.68
_06641_,192.195
_04726_,191.16
_10040_,190.92
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[9\],190.8
_11142_,190.655
_10038_,190.445
_02467_,190.06
_07613_,189.84
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[10\],189.7
_04916_,189.53
_02503_,188.05
_04672_,186.53
_11713_,186.3
_10029_,185.18
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[13\],185.1
_03702_,185.09
